,filmtv_id,title,year,genre,duration,country,directors,actors,avg_vote,critics_vote,public_vote,total_votes,description,notes,humor,rhythm,effort,tension,erotism
12,36,Bowery at Midnight,1942,Horror,62,United States,Wallace Fox,"Bela Lugosi, John Archer, Wanda McKay, Dave O'Brien, Lew Kelly",5.3,5.0,6.0,25,"In the infamous New York neighborhood of Bowery, there is a shelter for destitute people where Professor Brenner also lends his work. He is a teacher from the local college, but he leads a double life: at night, stripping off his respectable professional clothes, he turns into a ruthless killer. He then throws his victims into a basement where a strange zombie people live. But even the ""professor"" will have a bad end.","Defined by critics as shaky, Wallace W. Fox's horror films nevertheless remain the cornerstones of the unrepeatable B movie season. Fox is a master of atmosphere, thanks to a lugubrious Bela Lugosi at the right point.",0,2,1,3,0
14,38,Mr. Majestyk,1974,Action,105,United States,Richard Fleischer,"Charles Bronson, Linda Cristal, Al Lettieri, Lee Purcell",6.2,5.67,7.0,24,"A veteran of Vietnam, Vince (Bronson) grows melons in Colorado. He hires Mexican workers led by trade unionist Nancy, but he clashes with the labor racket that frames him and sends him to jail. Vince manages to escape by dragging a dangerous multiple murderer with him, offering to hand him over to the police in exchange for his freedom. But the ""kidnapped"" gang wants his skin.","Cliché screenplay (by Elmore Leonard) tailored to the ""tough, but fair"" Bronson who, after years of honored career following the ""Magnificent Seven"" (1960), in that same 1974 will experience the apotheosis with ""The executioner of the night "". Fleischer is routinely directed.",0,3,2,2,0
15,45,Warning Sign,1985,Action,99,United States,Hal Barwood,"Sam Waterston, Kathleen Quinlan, Yaphet Kotto, Jeffrey DeMunn",4.8,4.0,6.0,10,"Inside the Biotek laboratory, a renowned and reassuring factory at the forefront of agronomy, the red alarm goes off. What could have happened in an agricultural research institute? Nothing serious, unless behind the austere facade of the offices there is a biological weapons factory. In the meantime, no one can leave the room, where those contaminated by a strange virus become bloodthirsty beasts. A sheriff and his aide try to shed some light on the matter before it's too late.","It is a film that mixes ""The invasion of the body snatchers"" with ""The Thing"", passing through the ""Visitors"", but without the effectiveness of any of these.",0,2,1,1,0
24,61,The Appaloosa,1966,Western,98,United States,Sidney J. Furie,"Marlon Brando, Anjanette Comer, John Saxon, Emilio Fernández, Alex Montoya, Miriam Colon, Rafael Campos, Frank Silvera",6.9,7.0,7.0,25,"On the Mexican frontier, a dramatic rivalry between a bandolero and an aspiring breeder around a woman and a stallion.",A very original western for the subject and for the very personal shooting style of the Canadian director Sidney Furie. Great interpretation by Marlon Brando.,0,2,1,3,1
31,74,The Deep,1977,Adventure,130,United States,Peter Yates,"Nick Nolte, Jacqueline Bisset, Robert Shaw, Eli Wallach, Louis Gossett jr., Dick Anthony Williams, Earl Maynard, Bob Minor",5.2,4.71,6.0,28,"A boy and a girl, passionate divers, dive off the coast of Bermuda. On the carcass of a ship they find a Spanish medallion and a phial of morphine. A friend of theirs explains what is happening: a hospital ship that sank in the last war with its cargo of 70,000 vials of morphine landed on a Spanish galleon containing gold and sank two centuries earlier. The news leaks out and the adventurer Cloche tries to get hold of everything: morphine can in fact be transformed into heroin. But the two young people are opposed.","Not very exciting, but the underwater scenes are beautiful. The charm of Nick Nolte and Jacqueline Bisset remain unchanged.",1,2,1,2,1
34,79,The Abyss,1989,Fantasy,138,United States,James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn, Leo Burmester, Todd Graff, John Bedford Lloyd, J.C. Quinn, Kimberly Scott",7.2,7.26,7.0,173,"Divers from an underwater base must recover a failed nuclear submarine. Bud, a determined and experienced man, is their leader. Due to the particular nature of the mission, he is joined by Lindsey Brigman, a design engineer of the base, who, however, is also his ex-wife. Finally, the two are joined by Coffey, a psychotic naval officer. Together they will discover strange entities at the bottom of the abyss.","Direction technical tests waiting to set sail with the ""Titanic"". With a nod to Spielberg's feel-good science fiction, James Cameron founds an epic of spectacularity. Very high voltage.",0,3,0,3,0
48,104,Mail Order Bride,1963,Western,90,United States,Burt Kennedy,"Buddy Ebsen, Keir Dullea, Warren Oates, Marie Windsor, Lois Nettleton, Barbara Luna",6.2,6.0,6.0,14,"Restless and rebellious, Lee Karey is entrusted by his father to former Sheriff Will Lane to be ""put in line"". The boy in fact proves to be absolutely ""allergic"" to any form of authority. After careful consideration, Lane decides that the best cure is to get him a wife. He then summons Annie Boley, a young widow with a child. Not happy Lane establishes a strict clause: only after the marriage Lee will be able to take possession of the paternal ranch. The only problem is that, little by little, the two end up falling in love seriously.","A western tinged with comedy, according to conventional ways that still keep it at decent levels.",1,2,0,1,0
105,189,Air America,1990,Adventure,106,United States,Roger Spottiswoode,"Mel Gibson, Robert Downey jr., Nancy Travis, Ken Jenkins, David Marshall Grant, Lane Smith, Art LaFleur, Ned Eisenberg, Marshall Bell",5.2,5.14,5.0,54,"Air America is a CIA-activated airline that, under the cover of innocent businesses, not only supplies arms to the anti-communist forces of Laos during the Vietnam War, but also lends itself to transporting drugs on behalf of a local trafficker. In this context, the unsuspecting pilot Billy Covington appears, looking for a job, who, realizing the unclean traffic he serves, tries to oppose it at his own risk.","Do you remember ""Under the Shot"", the film set by Spottiswoode himself in Nicaragua in 1983? Forget it. Here the complaint is removed for the benefit of showmanship and good feelings.",0,3,0,2,0
106,193,Airport '77,1977,Action,110,United States,Jerry Jameson,"Jack Lemmon, James Stewart, Lee Grant, Brenda Vaccaro, Jean Seberg, Joseph Cotten, Olivia de Havilland, Darren McGavin, Christopher Lee, Robert Foxworth, Robert Hooks",4.7,3.33,6.0,37,"An elderly billionaire, on the occasion of an inauguration, invites relatives and friends on a trip on his luxurious Jumbo. The plane was furnished, among other things, with precious paintings. Just to get hold of the canvases, the second pilot, after having drugged the crew and passengers, hijacks the aircraft. Flying low to escape the radar, however, it hits an obstacle and falls into the sea. The commander, having regained command, leads the difficult rescue operations.","The film is yet another variation on the catastrophic plane genre inaugurated by ""Airport"" and continued with ""Airport '75"". Little suspense, banality between characters and apotheosis of special effects.",0,2,0,1,0
123,217,Steel Dawn,1987,Fantasy,100,United States,Lance Hool,"Patrick Swayze, Lisa Niemi, Christopher Neame, Brion James, Anthony Zerbe, John Fujioka, Brett Hool, Marcel Van Heerden, Arnold Vosloo",5.0,4.0,6.0,4,"The action takes place in a hypothetical post-atomic future. The earth is reduced to experiencing a new Middle Ages; a mysterious warrior, a veteran of who knows what battles, wanders among desolate and very risky lands. Knight without blemish and without fear, he takes on the defense of a young and beautiful widow and her little son from the snares of the evil one, who naturally surrounds himself with horrid thugs.","Yet another and unlikely variation on overcooked themes and situations. Future star Patrick Swayze (""Ghost"") had only the seasonal hit ""Dirty Dancing"" to his credit at the time; with this shortly he missed his career.",0,3,0,1,0
124,219,Dawn at Socorro,1954,Western,84,United States,George Sherman,"Rory Calhoun, Piper Laurie, David Brian, Alex Nicol, Kathleen Hughes, Edgar Buchanan, Mara Corday, Roy Roberts, Skip Homeier",6.2,6.0,6.0,11,"A gunslinger, determined to end his past, is forced to endure a final, decisive duel.",A good western by a modest specialist with second-rate actors.,0,0,0,0,0
127,223,The Hanging Tree,1959,Western,100,United States,Delmer Daves,"Gary Cooper, Maria Schell, Karl Malden, George C. Scott, Karl Swenson, Virginia Gregg, John Dierkes, King Donovan",7.7,8.13,7.0,69,"Doctor Frail, who has a tormented existence behind him and who is passionately dedicated to his profession as a doctor, welcomes and treats Elzabeth, the only survivor of an assault on diligence. Elizabeth, who in the meantime has fallen in love with Frail, recovers but the troubles are not over for her. Her business partner tries to rape her. The doctor intervenes, this time with the gun ...","Delmer Daves, author of one of the most beautiful westerns in history (""That Train to Yuma""), knows the rules of the genre perfectly. It tinges a classic story with melodrama by offering Cooper one of his best and most complex roles.",1,2,1,2,0
136,233,Nightwing,1979,Horror,105,United States,Arthur Hiller,"Nick Mancuso, David Warner, Kathryn Harrold, Stephen Macht, Strother Martin, George Clutesi, Ben Piazza, Donald Hotton",5.7,5.0,6.0,12,"Indian Youngman Duran is the deputy sheriff of the Masaki reserve and is engaged to white doctor Ann Dillon. Abner, the sorcerer of the tribe, announces the end of the world and immediately a mob of vampire bats appears, the bites of which transmit the bubonic plague. With Ann, who survived a desert expedition, and Paine, a scientist, Youngman Duran finally manages to destroy the terrible birds.","Based on the novel by Martin Cruz Smith, the film mixes, far from skilfully, the adventurous genre a la Indiana Jones, with a certain Indian mysticism combined with brushstrokes of horror. There is no lack, even if only hinted at, of a political-social discourse.",0,1,0,0,1
145,244,Alien Predator,1987,Fantasy,92,United States,Deran Serafian,"Dennis Christopher, Martin Hewitt, Lynn-Holly Johnson, Luis Prendes, J.O. Bosso, Yousaf Bokhari, Yolanda Palomo, Christina Augustin",2.7,4.0,1.0,4,"Three American boys take a trip to Duarte with the intention of having a good time, but extraterrestrial microorganisms have also arrived in the ancient Spanish city and cause the horrible death of the earthlings whose bodies they manage to penetrate.",Fanta horror poor in ideas.,0,1,0,1,0
146,246,The Hidden,1987,Fantasy,97,United States,Jack Sholder,"Kyle MacLachlan, Michael Nouri, Claudia Christian, Clarence Felder, Clu Gulager, Ed O'Ross, William Boyett, Richard Brooks",7.3,7.44,7.0,73,"In the city there are brutal murders after the escape from a hospital of a person who seemed dying. The policeman in charge of the investigation is Tom Beck. He is joined by a federal agent, Lloyd Gallagher, who seems to have clear ideas about ""what"" to look for. Lloyd is actually an alien, like entity, from who knows what galaxy, who sneaks into individuals making them ruthless delinquents.","Well-made sci-fi detective, which combines special effects, the right tension and good rhythm. Lloyd is Kyle McLachlan (""Blue Velvet"">, ""Twin Peaks"" and ""Dune""): a name, a guarantee.",1,2,0,2,1
