,filmtv_id,title,year,genre,duration,country,directors,actors,avg_vote,critics_vote,public_vote,total_votes,description,notes,humor,rhythm,effort,tension,erotism
13505,21777,Driven,2001,Action,117,United States,Renny Harlin,"Sylvester Stallone, Burt Reynolds, Kip Pardue, Estella Warren, Gina Gershon",4.0,4.0,4.0,60,"Driver Joe Tanto is recalled by his team leader Carl Henry: he had left the circuits to grow as a man but the smell of petrol in the pits smells of victory, and is irresistible. His job is to wean a budding champion.","Stallone takes care of the script (which cries out for revenge so bad it is) and entrusts the direction to his friend Renny Harlin, the spiritual father of all Hollywood ""shooters"". The staging of ""Driven"" tries to hide its inconsistency with speed. There are two ""sculptural"" situations destined for the anthology of the worst: a race at three hundred per hour in the city center and an accident in the rain with an impossible timing.",0,3,0,1,1
30027,71109,Breaking Point,2009,Action,93,United States,Jeff Celentano,"Tom Berenger, Busta Rhymes, Armand Assante, Musetta Vander, Frankie Faison, Sticky Fingaz, Curtiss Cook, Devin Ratray, Quisha Saunders, Robert LuPone",3.5,,4.0,6,"Steven Luisi, once a promising lawyer, is looking to return to his job after a fight against drug addiction and a family tragedy when he comes across a complex murder case. In an attempt to solve the case, Steven teams up with Richard ""Beanz"" Allen, a former athlete turned criminal, to stand up to Bowen, a gang leader and Steven's old drug dealer, uncovering intricate relationships between crime and crime. corrupt police.",,0,0,0,0,0
36416,175251,Greenland,2020,Action,119,United States,Ric Roman Waugh,"Gerard Butler, Morena Baccarin, Roger Dale Floyd, Joshua Mikel, Gary Weeks, Claire Bronson, Scott Poythress, Chip Carriere, Randal Gonzalez",5.3,5.0,6.0,62,"A worldwide catastrophe threatens to destroy humanity. John Garty only has four days to take the family to a secret military bunker. As time is running out and the world is in turmoil, she will have to do everything in her power to get her loved ones from New York to Greenland.",,0,0,0,0,0
5007,7675,Cattle King,1963,Western,90,United States,Tay Garnett,"Robert Taylor, Joan Caulfield, Robert Middleton, Robert Loggia",5.3,5.5,5.0,19,"The usual honest farmer who would like to live quietly in his ""lonely valley"", however, is confronted by a shady businessman who would like his land. The ""Chisum"" of the situation sends his henchmen to convince the protagonist to negotiate. He refuses and finds his girlfriend killed. Revenge takes place, and a gun will be unearthed ...","Western full of stereotypes that traces the typical theme of the clash between rampant capitalism and rural tradition according to Serie B schemes. Shooting routine and discreet interpretation, especially by Taylor and the character actor Loggia. Film of the decadence of a director once considered one of the masters of comedy and melò.",0,2,1,0,0
4503,6931,Silver River,1948,Adventure,110,United States,Raoul Walsh,"Errol Flynn, Ann Sheridan, Thomas Mitchell",6.6,6.5,7.0,10,"Former army captain, professional gamer, he becomes a boss in Silver City, but ends up succumbing to the big monopoly trusts. Nice start during the war, more predictable the rest.",,0,2,0,1,0
17768,29528,Four Faces West,1948,Western,89,United States,Alfred E. Green,"Joel McCrea, Frances Dee, Charles Bickford, William Conrad",6.9,7.0,7.0,6,,,0,0,0,0,0
20557,37345,Planet Terror,2007,Horror,115,United States,Robert Rodriguez,"Freddy Rodriguez, Rose McGowan, Quentin Tarantino, Josh Brolin, Marley Shelton, Jeff Fahey, Michael Biehn, Bruce Willis, Naveen Andrews, Rebel Rodriguez, Stacy Ferguson, Nicky Katt, Electra Avellan, Elise Avellan, Tom Savini",6.8,6.91,7.0,345,"A biological experiment, in which the United States military is involved, has turned people into zombies: now it's up to a handful of survivors - including the beautiful dancer Cherry Darling - to stop the infection or at least find a way out. ..","Pure genre cinema, which conveys a rebellious ideology through a system of visual signs and writing in a way that is totally free from rhetorical predominance. The moral, in _Planet Terror_, is clear: the outcasts are the true workforce of the contemporary world, capable of rebuilding an entire civilization from its foundations. Twin film of _Grindhouse - Death Proof_ by Tarantino.",2,3,1,2,1
30627,75104,Showdown,1973,Western,99,United States,George Seaton,"Rock Hudson, Dean Martin, Susan Clark, Donald Moffat, John McLiam, Charles Baca, Jackson D. Kane, Ben Zeller, John Gill, Philip L. Mead",6.2,,6.0,13,"Billy and Chuck are friends but one day they separate. The first plans the assault on a train, while the second becomes sheriff. After the train robbery, one of Billy's companions is killed, and Chuck starts hunting down the culprit.",,0,2,1,3,1
1748,2663,A Distant Trumpet,1964,Western,110,United States,Raoul Walsh,"Troy Donahue, Suzanne Pleshette, James Gregory, Diane McBain, William Reynolds, Claude Akins, Kent Smith, Judson Pratt, Bartlett Robinson",6.5,6.89,6.0,40,"The young Lieutenant Hazard is stationed at Fort Delivery, where General Quait arrives with a squadron to attack the Black Hawk tribe. After a first, bloody battle, Quait tries the path of negotiation and sends Hazard with an Indian guide on a mission to the rebels. Hazard succeeds in composing the parts, earning medal and promotion.","Times change; The era of the ""revisionist"" western, intent on restoring dignity to the ancient enemy, is fast approaching. In the film, which closes his fifty-year career Walsh, this time turns a non-critical look at least perplexed on the history of the West.",1,2,1,2,0
13247,21300,Viper,1994,Action,86,United States,Tibor Takacs,"Lorenzo Lamas, Frankie Thorn, Hank Cheyne, Joe Son",6.0,6.0,6.0,6,"Travis Blackstone, a former policeman, was sent to prison because he destroyed the evidence of his brother's guilt. Now, he is free again but Rhonda, his ex and currently partner of his brother Franklin, informs him that he is in trouble again because he has a debt of five million dollars. Travis leaves her to try to bring help to his brother. His partner Lindee, jealous, thinking he left her for Rhonda, puts killers on his heels.","Tibor Takács, director of ""Don't Open That Gate"" and ""Don't Open That Gate 2"" and ""Bats"" proves to be at ease even when it comes to shooting action movies.",0,2,0,1,0
9290,14541,Frankenstein,1993,Horror,117,United States,David Wickes,"Randy Quaid, Patrick Bergin, Fiona Gillies",6.0,6.0,6.0,4,"Confident that science can not only cure disease but also overcome death, young Dr. Victor Frankstein constructs an artificial creature using a corpse stolen from the scaffold on which he grafted a new brain. The doctor manages to give life to the new creature but it turns out to be a bloodthirsty monster that soon escapes his control. The creature then escapes and swears revenge against its artificer. For Victor it is the beginning of a nightmare that will compromise his marriage to Elizabeth.","Discreet television version of Mary Shelley's immortal novel. Nothing new and great, but Quaid is good at playing a monster that is a little smarter than usual.",0,2,0,2,1
32825,128970,HazMat,2013,Horror,80,United States,Lou Simon,"Norbert Velez, Aniela McGuinness, Todd Bruno, Gema Calero, Giordan Diaz, Tom Stedham, Daniela Larez, Reggie Peters, Mario Nalini, Dennis Spain",2.0,,2.0,5,"An independent TV production company has a program called Scare Antics, where people are given the opportunity to surprise friends with a good scare. Adam, Melanie and Carla want to scare their friend Jacob in hopes of getting him out of his quiet and boring shell. Program director David prepares for the shock by placing a series of hidden cameras inside an abandoned building.",,0,0,0,0,0
5716,8899,The Exile,1947,Adventure,97,United States,Max Ophüls,"Douglas Fairbanks jr., Maria Montez, Paule Croset, Henry Daniell",7.8,8.0,8.0,4,"Because of Cromwell's followers, Charles II flees into exile in Holland. But even there he is discovered (by the group of ""round heads"") and then he has nothing left but to take refuge in the countryside. Having entered the service of the innkeeper Kate, Carlo takes pleasure in life in the fields and in Kate's presence, until, after escaping yet another ambush, he learns that his homeland is demanding him again. Six years after his arrival in Hollywood, the exile Ophuls makes a film about exile, full of sequence shots, packed with dollies and with a delirious theatrical setting. A Douglas jr still struggling with his father's ghost helps him, even as a screenwriter.",,2,3,0,1,0
27613,56508,The Conjuring,2013,Horror,112,United States,James Wan,"Vera Farmiga, Patrick Wilson, Ron Livingston, Lili Taylor, Mackenzie Foy, Joey King, Hayley McFarland, Shanley Caswell, Joseph Bishara, Steve Coulter, John Brotherton, Sterling Jerins, Shannon Kook, Kyla Deaver",6.5,6.26,7.0,247,"A New England family has close encounters with the terrible spirits that haunt their farmhouse. To get rid of the evil presences, the family is forced to enlist the help of investigators Ed (Patrick Wilson) and Lorraine Warren (Vera Farmiga), experts in occult phenomena.","Written by the Hayes twins, it is based on the extrasensory experiences of the real Warren spouses, here played by Vera Farmiga and Patrick Wilson, but thanks to Wan's staging it moves away from the pseudo-documentary style of fashionable horror. Also thanks to the translucent setting of the 70s, the film involves without seeking forced or false aesthetic originality but remaining functional to one thing: fear. Which for the director is first of all a matter of gaze, because narratively everything appears derivative and nothing should surprise anymore. Yet no: the expectations, the evocation of archetypes, even the worn creaking of a wooden door are stereotypes used at best.",0,3,2,4,0
2772,4215,Medicine Man,1992,Adventure,106,United States,John McTiernan,"Sean Connery, Lorraine Bracco, José Wilker, Rodolfo De Alexandre, Francisco Tsiren Tsere Rereme, Elias Monteiro Da Silva, Edinei Maria Serrio Dos Santos, Bec-Kana-Re Dos Santos Kaiapo, Angelo Barra Moreira, José Lavat",6.0,6.0,6.0,58,"Robert Campbell (Sean Connery) is a scientist who has lived for years in the Amazon rainforest, in search of a remedy for cancer starting from some drugs of the tribal medicine of the Indians. Since the results do not seem satisfactory, he is joined by the pharmaceutical multinational, who finances him a young researcher (Lorraine Bracco) who, after the first squabbles, proves his worth, conquering even the heart of the gruff scientist. Meanwhile, some unscrupulous businessmen are destroying the forest (and consequently the populations that inhabit it). To save their proteges and their studies, the two go even further into the region ... The screenwriter is that of ""Fleeting Moment"", McTiernan is not Boorman (""The Emerald Forest"") and completely relies on the pair of actors capable of holding up the film.",,1,2,2,2,1
15881,25738,The Dentist,1996,Horror,92,United States,Brian Yuzna,"Corbin Bernsen, Linda Hoffman, Michael Stadvec, Ken Foree",6.5,6.67,6.0,37,"Allan is a dentist with a seemingly perfect life: an established profession, a beautiful wife and no worries. But when he finds out that the woman is cheating on him, his revenge will be terrible ...",Stereotypical characters and non-existent suspense where real torture is inflicted on the eyes of the spectators.,1,1,1,1,1
4835,7411,A Night on the Town,1988,Adventure,104,United States,Chris Columbus,"Elisabeth Shue, Maia Brewton, Keith Coogan, Anthony Rapp",6.1,5.5,7.0,39,"Hired for one evening as a babysitter by the Andersons, the young Chris finds herself nursing three young boys: Sara, Brad and Daryl. A friend's call, however, forces Chris to leave the house, taking his ... offspring with him. A good night awaits them in terrible Chicago, amidst car thieves, shady traffickers and dangers of all kinds. A not terrific little play and tailor-made for an audience of teenagers.",,2,2,0,1,0
31930,84336,The Veil,2016,Horror,90,United States,Phil Joanou,"Jessica Alba, Thomas Jane, Lily Rabe, Shannon Woodward, Reid Scott, Aleksa Palladino, Ivy George, Jack De Sena, Chelsea Grant, Meegan Warner",4.6,5.0,4.0,15,"A charismatic leader in the 1980s led his followers to the largest mass suicide in US history. Only a little girl was saved, who twenty-five years later decides to return to the places of the carnage in the company of a director and her crew in search of answers on that fateful day. In this way supernatural mysteries will come to light that will change everyone's lives.",,0,0,0,0,0
10800,17091,Gambler from Natchez,1954,Adventure,88,United States,Henry Levin,"Dale Robertson, Debra Paget, Thomas Gomez",6.0,6.0,6.0,4,"Vance Colby and arrives in New Orleans where a friend awaits him who should lead him to his father, a famous player. But too many things happen on the way and when Vance arrives at the hotel, he finds his father dead. He begins to carry out investigations that are very tiring.","This film is a real pearl necklace, thanks to which Levin puts the interminable adventures of this character one after the other.",0,2,0,1,1
