,filmtv_id,title,year,genre,duration,country,directors,actors,avg_vote,critics_vote,public_vote,total_votes,description,notes,humor,rhythm,effort,tension,erotism
5909,9189,China Seas,1935,Adventure,89,United States,Tay Garnett,"Jean Harlow, Clark Gable, Wallace Beery, Rosalind Russell",7.8,8.0,8.0,7,"Although his jealous mistress is on board, the captain of a ferry traveling between Hong Kong and Singapore is engaged to a rich widow. To get revenge, the girl gives a bandit the keys to the armory of the ship that is attacked by the pirates, who, however, are unable to seize the cargo of gold. Justice will triumph.","Thwarted loves, strong passions, pirate raids in the South Seas: if we tried to define the idea of ??""classicism"" in the system of genres, this film would provide an ideal synthesis. A simple but well-cooked recipe, with all the ingredients in the right place, as today we can do more and more rarely.",1,2,0,2,0
7173,11171,The Haunted,1991,Horror,100,United States,Robert Mandel,"Jeffrey DeMunn, Sally Kirkland, Louise Latham, Joyce Van Patten",5.7,6.0,5.0,10,"A small family from Pennsylvania moves into a new home where a series of terrifying phenomena soon unfold. Between movements of objects, noises, frightening voices and so on, they must fight above all in order not to lose their mind. The film, shot for TV, deals with events that were widely dealt with in the American news and is based on the book (1988 best-seller) in which the protagonist family narrated their experience. The realization has some effectiveness.",,0,2,0,2,0
32854,129756,Dead Awake,2016,Horror,99,United States,Phillip Guzman,"Lori Petty, Jesse Bradford, Brea Grant, Jocelin Donahue, Jesse Borrego, James Eckhouse, Billy Blair, Liz Mikel, Mona Lee Fultz, Jeffrey Reddick",4.3,4.5,4.0,4,"Young Kate Bowman is a social worker who is investigating the mysterious deaths of some people while they were sleeping. Shortly before his death, the victims reported seeing something supernatural while suffering some kind of sleep paralysis. Investigating further, Kate ends up provoking the force of the evil entity at the origin of it all, which will attempt to target her and her family.",,0,0,0,0,0
10877,17255,Mr. Stitch,1994,Horror,90,United States,Roger Avary,"Rutger Hauer, Will Wheaton, Romland Wafford, Nia Peeples",6.5,6.0,7.0,6,"Dr. Archibald Rus is the head of a government science agency. His work consists in the experimentation of a surgical system capable of recreating a man made up of parts of eighty different bodies. Lazarus, this is the creature's name, should have neither a will nor a memory; instead he is shocked every night by the horrendous images of the deaths suffered by the owners of the bodies used in his creation.","Second film as director of Roger Avary, screenwriter with Quentin Tarantino of ""Pulp Fiction"". A television horror, which cannot therefore exceed too much, however well directed.",0,1,0,2,0
33192,137418,Cross 2,2016,Action,96,United States,Patrick Durham,"Brian Austin Green, Danny Trejo, Vinnie Jones, Patrick Durham, Tom Sizemore, Lori Heuring, Tim Abell, André Gordon, Ned Liebl, Amy Jane",1.3,,1.0,4,"The city of Los Angeles is in danger, an old Viking demon named Gunnar has been brought back to life by a curse. Only Cross and his team of fighters will be able to save the city and restore order to the world.",,0,0,0,0,0
5480,8492,Eye of the Tiger,1986,Action,90,United States,Richard Sarafian,"Gary Busey, Yaphet Kotto, Seymour Cassel",4.3,4.0,5.0,3,"Buck Matthews returns home from jail. All that matters in his life is the love of his wife Christie and their little Jennifer. But his return soon turns into a war: a gang of bikers kill Christie in revenge and reduce Jennifer to death. From that moment on Buck seeks only his revenge together with his friend J.B. Deveraux, aide to the sheriff.","Sarafian had her golden moment a long time ago with films like ""White Man Go With Your God"". But to make a living, however, he was really bad, forced to direct stuff like this similjustiziere of the night: an hour and a half of unpretentious action.",0,2,0,1,0
25812,48876,Rosewood Lane,2011,Horror,81,United States,Victor Salva,"Rose McGowan, Lauren Vélez, Ray Wise, Bill Fagerbakke, Lesley-Anne Down, Lin Shaye, Rance Howard, Ashton Moio, Judson Mills, Steve Tom",5.5,6.5,4.0,31,"Sonny Blake, a psychiatrist who dispenses advice from the microphones of a radio talk show, decides after the death of his alcoholic father to return to the house where he spent his childhood. As soon as she arrives, she realizes how the whole neighborhood is terrified of Derek Barber, the boy who delivers the newspapers in the morning and who has a habit of turning children's nursery rhymes into macabre omens of what could happen, convincing himself that behind the death of the parent there is her hand and that she is the next intended victim. Since no one seems to give rise to her words and the evidence gathered against Derek is insufficient to initiate a police investigation, Sonny is forced to face her fears alone, ending up the protagonist of a grueling hunt in which she is the one the prey.",,1,2,1,1,0
22082,39954,Alice in Wonderland,2010,Fantasy,110,United States,Tim Burton,"Mia Wasikowska, Johnny Depp, Anne Hathaway, Michael Sheen, Helena Bonham Carter, Alan Rickman, Crispin Glover, Christopher Lee, Eleanor Tomlinson, Matt Lucas, Geraldine James, Frances de la Tour, Eleanor Gecks, Michael Gough, Imelda Staunton",5.4,5.14,6.0,421,"Alice is a seventeen-year-old who refuses an arranged marriage and dreams of becoming an industry captain. Fleeing the party where it was supposed to be presented in society, she finds herself in a very strange world, populated by fantastic creatures. There he will find the always late white rabbit, the mad hatter, the white queen and the red one.","Burton reinterprets the character of Lewis Carroll by presenting a more adult version and appeals to all the phantasmagoric paraphernalia of his cinema, with the inevitable feeling of déjà vu. _Alice in Wonderland_ seems to favor Disney production more (with a fake 3D) than the director and fails to distil the true essence of the original.",1,1,2,1,0
14449,23264,Re-Animator,1985,Horror,86,United States,Stuart Gordon,"Jeffrey Combs, Bruce Abbott, Barbara Crampton, Robert Sampson",7.6,7.64,8.0,108,A medical student invents a serum to resurrect the dead. But the corpses come back to life for the purpose of killing.,"Gordon's directorial debut, who began his film career with one of the most violent and revolting films of the 1980s, with no regard for anyone: a worthy heir to Romero. A joy. From a story by H.P. Lovecraft. Considered a cult movie by fans of the horror genre.",1,3,1,2,1
3188,4847,The Outrage,1964,Western,97,United States,Martin Ritt,"Paul Newman, Laurence Harvey, Claire Bloom, Edward G. Robinson",6.4,6.75,6.0,17,"Accused of killing a man and raping his wife, Juan Carrasco is sentenced to death. He says it was a regular duel. Some support the suicide thesis, others blame (at least morally) the wickedness of the wife and the wife finally contradicts everyone by accusing herself of the murder. Too many versions for a single crime cause despair over the possibility of finding the truth. Martin Ritt puts the subject of ""Rashomon"", a famous film by Akira Kurosawa, into a western. The transposition fails completely and smells a little academy. However, the actors are splendid: from Paul Newman to Edward G. Robinson.",,1,2,2,2,0
